Categoria,Tipo,Patrimonio,Tasse,Rapporto Growth/Value,Rendimento 2006,Rendimento a 3 Anni,Rendimento a 5 Anni,Rischio
Large Cap,Growth,1706.8,Si,1.31,18.5,16.0,15.9,Basso
Large Cap,Growth,1169.7,No,1.33,18.6,16.1,15.8,Basso
Large Cap,Growth,579.7,No,1.87,0.6,3.5,10.5,Alto
Large Cap,Growth,904.8,Si,1.51,4.6,10.7,8.1,Medio
Large Cap,Growth,675.9,Si,1.28,8.5,11.9,7.3,Medio
Large Cap,Growth,607.5,No,1.18,1.4,9.7,6.1,Basso
Large Cap,Growth,2303.4,Si,1.22,8.4,9.5,7.8,Basso
Large Cap,Growth,2403.8,Si,1.21,6.9,9.3,7.3,Basso
Large Cap,Growth,223.3,Si,1.47,13.0,11.2,8.6,Alto
Large Cap,Growth,8957.1,No,0.75,9.4,8.8,6.1,Alto
Large Cap,Growth,909.7,No,0.80,13.1,10.4,6.3,Medio
Large Cap,Growth,64.4,No,0.15,14.7,12.1,8.1,Basso
Large Cap,Growth,85.5,Si,1.58,-0.9,7.5,8.1,Alto
Large Cap,Growth,52.2,No,1.50,11.6,10.3,6.4,Medio
Large Cap,Growth,8411.5,Si,0.63,10.9,12.4,8.0,Medio
Large Cap,Growth,44.3,Si,1.30,10.3,10.7,8.0,Basso
Large Cap,Growth,1740.4,No,1.18,10.2,14.1,8.3,Basso
Large Cap,Growth,282.3,No,1.22,7.1,10.2,8.0,Medio
Large Cap,Growth,454.4,No,0.92,9.1,13.2,7.9,Basso
Large Cap,Growth,9870.7,No,0.86,12.3,15.0,7.7,Medio
Large Cap,Growth,56.0,No,1.58,15.5,12.6,8.9,Alto
Large Cap,Growth,4835.5,No,1.24,8.6,7.8,10.0,Basso
Large Cap,Growth,2692.0,No,1.26,6.6,9.2,7.4,Basso
Large Cap,Growth,424.8,No,1.13,12.3,11.0,6.2,Medio
Large Cap,Growth,198.4,Si,1.37,10.8,11.4,7.6,Alto
Large Cap,Growth,221.8,No,2.42,6.9,8.4,6.7,Basso
Large Cap,Growth,15422.9,No,0.72,14.0,10.2,6.2,Medio
Large Cap,Growth,497.9,Si,1.36,8.6,12.0,7.3,Medio
Large Cap,Growth,547.3,No,1.09,7.5,12.8,7.2,Medio
Large Cap,Growth,103.7,No,0.59,9.4,11.3,6.3,Alto
Large Cap,Growth,5527.1,No,0.41,11.2,10.2,6.5,Medio
Large Cap,Growth,22592.9,No,0.46,12.3,13.0,8.4,Medio
Large Cap,Growth,240.8,No,1.42,4.4,10.3,6.6,Medio
Large Cap,Growth,2403.4,No,0.93,8.0,10.1,4.3,Medio
Large Cap,Growth,196.8,Si,1.62,5.8,6.2,6.7,Basso
Large Cap,Growth,233.3,Si,1.33,6.5,9.4,5.4,Medio
Large Cap,Growth,71.2,No,0.15,15.4,6.6,5.0,Medio
Large Cap,Growth,68.0,No,1.04,12.4,8.0,5.0,Alto
Large Cap,Growth,226.7,Si,1.25,11.7,9.3,5.1,Basso
Large Cap,Growth,817.4,No,1.35,7.2,6.3,5.4,Alto
Large Cap,Growth,506.9,No,1.15,11.2,9.3,4.5,Medio
Large Cap,Growth,4360.3,No,0.92,16.3,8.5,5.0,Basso
Large Cap,Growth,221.6,No,1.12,13.2,8.9,4.7,Medio
Large Cap,Growth,434.9,Si,1.19,14.2,12.3,7.1,Medio
Large Cap,Growth,7834.2,No,0.56,13.7,9.6,5.5,Medio
Large Cap,Growth,505.3,Si,1.27,12.4,8.2,4.6,Basso
Large Cap,Growth,152.1,Si,1.34,12.4,9.6,4.6,Medio
Large Cap,Growth,479.3,No,0.87,12.4,10.2,5.3,Alto
Large Cap,Growth,30110.2,No,0.94,9.6,11.7,5.6,Alto
Large Cap,Growth,173.0,No,0.94,5.7,10.8,4.1,Alto
Large Cap,Growth,815.4,No,0.73,13.0,8.9,4.5,Medio
Large Cap,Growth,85.7,No,0.45,13.2,9.6,4.0,Medio
Large Cap,Growth,166.1,Si,1.41,3.3,7.8,5.3,Medio
Large Cap,Growth,47.2,No,0.74,8.1,10.8,5.7,Medio
Large Cap,Growth,6955.2,No,0.87,7.8,10.7,5.8,Medio
Large Cap,Growth,3928.9,No,0.92,8.7,8.7,3.8,Alto
Large Cap,Growth,1790.7,No,0.85,14.0,6.0,4.3,Basso
Large Cap,Growth,135.4,No,1.25,14.6,8.2,5.8,Medio
Large Cap,Growth,142.0,No,1.18,9.2,9.7,5.6,Medio
Large Cap,Growth,601.8,No,1.00,9.7,7.9,3.8,Medio
Large Cap,Growth,2425.8,Si,0.89,10.3,9.7,6.5,Medio
Large Cap,Growth,70.3,No,1.00,3.2,9.4,5.2,Alto
Large Cap,Growth,52.6,No,1.04,9.2,9.3,4.1,Medio
Large Cap,Growth,8752.9,No,0.85,9.7,8.3,4.5,Medio
Large Cap,Growth,793.8,Si,1.17,-3.9,9.4,5.4,Medio
Large Cap,Growth,460.3,No,0.25,13.1,8.4,4.7,Medio
Large Cap,Growth,1665.0,Si,1.19,2.7,7.7,5.3,Medio
Large Cap,Growth,71.0,Si,1.32,6.7,9.5,8.5,Medio
